releaseYear,lifetime_gross,imdb_averageRating,studio
1988,13008928,7.2,Uni.
1988,45661556,6.8,Fox
1990,10360553,6.8,WB
1991,15565363,5.9,BV
1991,33691313,5.9,WB
1991,43218387,7.3,Fox
1992,217350219,8.0,BV
1992,70052444,5.6,Par.
1992,14110589,4.8,Par.
1992,46666502,5.9,BV
1993,7286388,7.3,Uni.
1992,121697323,7.0,Par.
1993,2850263,6.2,WB
1994,25096862,8.1,Uni.
1993,12526677,6.6,Uni.
1993,3125424,5.9,WB
1993,5632086,6.7,BV
1994,6562513,5.9,Sony
1994,75671125,6.6,Par.
1994,6017509,5.9,Fox
1996,13681765,7.1,BV
1996,1548120,7.6,Sony
1996,9255027,5.3,BV
1996,17380126,6.2,Sony
1996,5781045,5.4,Uni.
1997,20050376,5.4,Sony
1997,50159144,7.0,Par.
1997,101117573,6.9,BV
1998,11203026,6.1,BV
1998,144156605,5.4,Fox
1997,42071069,6.7,Fox
1998,10459961,5.1,WB
1997,3600616,4.8,Sony
1997,1851761,6.7,BV
1999,55691208,7.5,WB
1999,81526121,7.1,Par.
1999,171091819,7.3,BV
1998,57167405,6.5,WB
1999,27807627,6.4,BV
1999,29762011,6.1,Uni.
2000,77122415,6.6,Uni.
1999,163479795,6.4,Sony
1999,6262878,6.2,Sony
2002,403706375,7.4,Sony
2001,131168070,5.7,Par.
1999,11683047,5.8,Sony
1999,152257509,5.6,Par.
2000,39785027,6.6,Fox
2000,73209340,5.8,Sony
2001,5411999,4.8,Fox
2000,5108820,5.9,WB
1999,58223861,6.9,BV
2001,7660806,4.6,Fox
2000,13023075,5.6,BV
2001,202019785,6.4,Uni.
2000,13616610,5.2,Par.
2000,1157764,7.5,Sony
2001,19402030,5.8,Sony
2001,57743062,4.8,SonR
2001,7517191,6.7,DW
2002,164615351,8.1,DW
2002,108638745,7.7,SonR
2002,39089928,5.9,Uni.
2002,7073251,6.1,Sony
2005,4480744,6.3,Dim.
2003,60060328,7.1,Dim.
2004,373585825,7.5,Sony
2005,47398413,7.2,Fox
2003,90135191,7.9,WB
2003,33832741,5.8,Fox
2003,7718961,7.9,Par.
2004,74541707,6.5,BV
2004,67133509,5.8,SonR
2014,26307600,6.5,Uni.
2004,70831760,5.8,Sony
2005,32064800,5.5,WB
2005,234280354,6.5,Par.
2006,132384315,8.5,WB
2005,22991379,6.2,Uni.
2008,50877145,6.1,Uni.
2006,5971336,4.4,Sony
2016,30498085,6.3,Uni.
2007,256393010,7.2,WB
2007,80209692,6.8,P/DW
2007,19661987,7.4,Sony
2008,93466502,7.4,WB
2009,35922978,5.6,Sony
2012,262030663,6.9,Sony
2008,64506874,5.0,Fox
2008,7873007,6.4,Fox
2009,293004164,8.3,BV
2009,88915214,6.4,Sony
